"","","Accuracy","Play Count","Performance","SS","S","A"
"#292","Ceptin","97.53%","95,677","11,680","50","713","1,131"
"#293","goosefedora","98.79%","156,965","11,678","61","1,686","1,000"
"#294","Autistic Kid","98.86%","82,054","11,673","61","824","1,274"
"#295","DudsonZ","98.87%","108,485","11,670","116","1,026","613"
"#296","Area","99.29%","147,080","11,670","357","2,881","1,531"
"#297","-Syncro","97.75%","79,794","11,668","5","406","678"
"#298","LightsOut","96.81%","130,110","11,657","187","1,355","955"
"#299","Anze","97.31%","182,235","11,649","315","1,831","1,066"
"#300","Devon","96.57%","153,291","11,646","13","694","1,100"
"#301","ThatRandomguy","99.09%","113,853","11,638","54","1,005","779"
"#302","Calcium","97.91%","188,592","11,638","48","1,447","4,419"
"#303","DenierNezzar","98.61%","144,416","11,630","97","2,275","1,848"
"#304","Kim Dahyun","96.28%","97,745","11,619","177","719","710"
"#305","Aldrouch","98.36%","103,129","11,619","15","500","1,251"
"#306","Maiaz","98.19%","42,956","11,619","11","821","906"
"#307","Thorfinn","97.72%","98,028","11,617","54","685","479"
"#308","haga1115","98.84%","107,615","11,589","207","1,165","2,168"
"#309","Milo Milkshake","98.44%","92,428","11,579","68","1,222","1,494"
"#310","DigiDrake","98.96%","134,817","11,571","189","1,808","939"
"#311","Kalal331","97.03%","70,897","11,562","29","957","1,859"
"#312","Lilily","98.01%","203,537","11,562","7,105","6,048","3,258"
"#313","esio","97.25%","45,340","11,560","15","687","359"
"#314","Naco","95.09%","36,392","11,556","25","248","652"
"#315","FeeDyy","98.57%","68,666","11,555","100","1,123","2,362"
"#316","Toushi","98.70%","109,410","11,539","88","1,095","1,195"
"#317","Tokori","97.81%","183,425","11,530","15","453","1,387"
"#318","[ nong422 ]","97.55%","73,657","11,529","72","883","652"
"#319","cocona","98.45%","106,861","11,500","213","873","999"
"#320","watun","98.00%","75,558","11,494","197","762","1,183"
"#321","Kynan","98.82%","204,727","11,488","92","2,057","2,342"
"#322","T A K A O","97.87%","119,158","11,481","156","1,066","1,990"
"#323","zin","97.91%","119,506","11,477","201","1,948","1,708"
"#324","Rebo","98.60%","73,411","11,474","78","932","1,515"
"#325","Aden","96.98%","115,545","11,469","36","1,252","1,481"
"#326","Crystal","98.39%","120,781","11,458","900","4,970","1,458"
"#327","Trail Mix","97.68%","75,826","11,452","80","995","1,566"
"#328","MyAngelShime","95.87%","54,966","11,450","12","294","505"
"#329","JAPRON","98.78%","92,247","11,449","59","433","432"
"#330","Shinkei","97.92%","91,558","11,431","6","589","550"
"#331","[-Lockon-]","97.82%","136,622","11,431","46","1,617","1,674"
"#332","Kaido","99.46%","110,008","11,429","69","324","730"
"#333","EmertxE","97.73%","204,719","11,428","99","2,184","1,850"
"#334","Idealism","98.05%","102,727","11,419","102","1,718","1,401"
"#335","Doomsday fanboy","96.56%","100,160","11,416","51","1,121","603"
"#336","karott90","98.86%","96,296","11,416","502","3,762","3,544"
"#337","Azer","99.13%","102,159","11,412","248","1,450","1,022"
"#338","[TAKA]","97.78%","109,683","11,403","128","2,158","1,669"
"#339","Orbi","99.04%","141,802","11,389","103","1,676","889"
"#340","Blazink","96.02%","81,256","11,384","1","111","558"
"#341","Theodore","95.56%","18,520","11,377","0","83","163"
"#342","SunFesta","96.56%","71,163","11,370","151","596","900"
"#343","Ampharos","97.54%","58,647","11,368","56","339","381"
"#344","xaxreid","98.80%","107,734","11,365","39","711","1,250"
"#345","MrFuture","98.83%","116,438","11,347","309","629","678"
"#346","JustMan","99.01%","67,841","11,342","319","1,655","982"
"#347","fojo","97.26%","48,814","11,341","5","577","1,548"
"#348","Surv","98.28%","72,973","11,339","106","460","520"
"#349","Sanze","99.13%","162,906","11,335","110","1,382","1,141"
"#350","Fangzy","99.19%","184,093","11,331","1,183","6,377","275"
"#351","fea","99.18%","107,540","11,326","561","724","390"
"#352","Sieela","98.44%","102,145","11,318","25","668","768"
"#353","Purps","98.86%","78,699","11,318","68","666","1,143"
"#354","[toy]Is our boy","95.67%","69,563","11,315","28","445","423"
"#355","Jagester","98.48%","134,549","11,309","96","1,535","1,797"
"#356","-Nanahira-","98.68%","112,095","11,307","117","1,732","1,187"
"#357","Mya2","97.19%","63,291","11,307","28","1,308","1,853"
"#358","rektygon trash","97.69%","79,863","11,301","102","1,312","1,583"
"#359","Smiljko","98.73%","96,351","11,297","90","1,100","1,410"
"#360","XVoIR","97.73%","66,803","11,292","51","658","565"
"#361","GranDSenpai","97.86%","240,105","11,290","287","1,239","1,901"
"#362","Tj7223","99.60%","75,026","11,289","2","435","582"
"#363","Ceja","99.28%","84,400","11,281","473","453","216"
"#364","noslied001","97.75%","55,525","11,280","129","1,027","1,022"
"#365","[Rem-Desu]","97.12%","41,905","11,280","9","443","474"
"#366","flae","97.70%","120,789","11,275","96","514","442"
"#367","Avenito","98.17%","105,531","11,273","47","573","793"
"#368","ShirohaMyMommy","99.35%","98,020","11,271","411","2,358","848"
"#369","seneaL","97.86%","15,401","11,270","14","187","221"
"#370","nah","97.35%","24,414","11,270","19","263","799"
"#371","Zekker","98.67%","96,688","11,269","752","791","763"
"#372","Petal","96.55%","73,671","11,257","46","780","758"
"#373","Shaiden","98.78%","86,700","11,254","80","1,213","689"
"#374","TrueC1e4rFanboy","97.46%","57,044","11,254","15","108","240"
"#375","SilverAkcel","98.68%","113,560","11,252","49","781","639"
"#376","Recia","99.12%","109,626","11,250","680","2,956","411"
"#377","jordanlr7","98.60%","78,056","11,249","111","920","1,166"
"#378","Ronk","95.86%","68,146","11,248","7","520","826"
"#379","fyre","97.54%","116,126","11,245","225","759","1,016"
"#380","ByYoshi14","98.73%","76,234","11,227","118","991","1,220"
"#381","Too Slow","98.54%","122,723","11,222","124","1,454","2,442"
"#382","[RyuTell]","98.80%","61,070","11,218","83","633","738"
"#383","YummyinmyTummy","99.45%","60,697","11,216","116","812","1,067"
"#384","cmnk","98.08%","89,264","11,216","120","1,171","1,373"
"#385","zonelouise","98.95%","63,338","11,211","219","1,119","833"
"#386","Yakui","96.72%","40,978","11,211","48","812","947"
"#387","ededed028","97.83%","113,752","11,211","48","617","508"
"#388","hshs","98.50%","185,507","11,209","295","2,920","1,589"
"#389","Rexeez","98.58%","82,137","11,200","75","1,418","1,944"
"#390","Dizick","98.53%","147,812","11,199","20","556","1,378"
"#391","CrtReXn","99.28%","149,685","11,193","168","2,337","2,353"
"#392","Izuko Gaen","99.17%","67,238","11,193","89","932","1,527"
"#393","BlueSky-","98.38%","91,208","11,189","22","845","974"
"#394","Dylson","99.37%","111,709","11,186","152","2,329","960"
"#395","intenseGoat","98.70%","94,331","11,186","58","758","919"
"#396","suffix","96.00%","103,935","11,183","41","858","1,366"
"#397","BAKKALO","97.71%","114,930","11,182","76","1,110","1,601"
"#398","Freezd","99.29%","82,352","11,181","97","626","840"
"#399","imagaK","98.78%","141,841","11,180","292","3,132","1,538"
"#400","Spork Lover","99.08%","119,749","11,172","398","3,583","2,537"
"#401","KyoouN","99.02%","141,702","11,168","43","936","1,013"
"#402","Gala","98.51%","104,173","11,157","36","510","892"
"#403","Otters","98.81%","57,886","11,153","63","440","488"
"#404","Alexandrine","97.51%","72,769","11,152","8","227","400"
"#405","Failing","97.99%","65,813","11,151","116","1,201","687"
"#406","Mistya","98.90%","143,513","11,145","433","2,489","1,241"
"#407","ReaL motion","99.29%","170,922","11,143","214","2,917","1,906"
"#408","Konam","97.38%","87,139","11,143","145","1,742","1,985"
"#409","Zestiny","95.66%","81,787","11,137","57","1,240","1,967"
"#410","Anroyz","98.66%","199,494","11,131","70","1,224","2,147"
"#411","takoz53","99.24%","14,978","11,131","22","358","357"
"#412","FlySlime","95.71%","84,604","11,130","124","1,107","1,287"
"#413","ant0ni","97.07%","80,985","11,129","26","457","484"
"#414","Vivace","98.13%","104,692","11,125","29","820","1,019"
"#415","-Snowy-","97.72%","95,792","11,120","106","2,095","1,592"
"#416","lespi6","98.01%","123,730","11,116","126","2,055","4,658"
"#417","Numbers","98.78%","102,280","11,112","24","848","1,106"
"#418","CeilingWaffle","99.03%","151,520","11,107","97","2,113","1,517"
"#419","Axarious","97.40%","66,547","11,106","35","860","512"
"#420","kaif","97.48%","94,563","11,103","124","1,161","1,903"
"#421","FreeZeR","98.76%","66,638","11,102","192","1,575","1,541"
"#422","PikaPwn","99.35%","78,000","11,102","125","1,065","1,226"
"#423","-Zirba-","98.80%","79,125","11,102","40","833","818"
"#424","Legendre 2","97.68%","57,766","11,100","463","2,818","2,134"
"#425","-Strafe","98.89%","95,998","11,100","56","902","1,663"
"#426","Cerkie","99.19%","175,868","11,100","393","1,634","1,673"
"#427","Myst1k","98.76%","142,882","11,096","141","1,730","1,467"
"#428","FunOrange","99.24%","82,408","11,096","160","1,259","1,067"
"#429","fudu","98.56%","205,030","11,095","945","3,367","1,370"
"#430","Tofunim","97.74%","110,003","11,093","5","435","1,266"
"#431","Diallo","98.20%","95,661","11,090","84","847","1,891"
"#432","Flask","98.84%","75,269","11,089","177","2,574","1,744"
"#433","Meiku","98.17%","119,657","11,078","151","900","797"
