"","","Accuracy","Play Count","Performance","SS","S","A"
"#8079","kinchin","97.94%","16,872","6,982","19","528","1,284"
"#8080","Perezz","98.88%","59,906","6,982","37","642","1,605"
"#8081","Sabokizi","98.78%","82,868","6,982","35","561","1,562"
"#8082","KoPoG","97.51%","66,373","6,982","56","694","861"
"#8083","Fyrecia","99.33%","50,716","6,982","209","1,396","573"
"#8084","Patchy","98.75%","39,699","6,982","69","450","309"
"#8085","LesbianVampire","98.86%","19,197","6,982","55","627","1,037"
"#8086","Joyi","98.68%","49,857","6,981","37","427","1,056"
"#8087","Huzz","97.62%","27,244","6,981","16","408","484"
"#8088","caezar25","99.09%","38,896","6,981","87","1,407","1,500"
"#8089","wheelchair","97.24%","46,146","6,981","5","289","591"
"#8090","Emiri Ultimecia","98.95%","49,508","6,980","72","1,257","771"
"#8091","OsuVil","99.06%","38,160","6,980","25","651","691"
"#8092","Winner","97.66%","61,100","6,980","19","300","311"
"#8093","Miuna","98.42%","66,947","6,980","77","802","984"
"#8094","Omeguii","98.62%","69,494","6,980","10","154","769"
"#8095","Kasen","99.53%","110,592","6,980","231","1,531","1,299"
"#8096","DataSnok","98.74%","81,539","6,980","36","493","866"
"#8097","Unique","98.39%","50,349","6,979","178","833","1,544"
"#8098","Lavila","98.48%","67,751","6,979","32","925","3,714"
"#8099","Lesster","97.88%","37,663","6,979","2","396","333"
"#8100","3312","98.88%","71,307","6,979","16","223","539"
"#8101","Marumaru","99.24%","5,888","6,979","419","1,003","769"
"#8102","gj Yui","99.34%","54,516","6,979","125","2,448","1,503"
"#8103","brute","93.93%","52,491","6,979","7","133","250"
"#8104","hampa","98.32%","43,931","6,978","260","1,017","1,411"
"#8105","RndGuy","96.19%","115,484","6,978","54","1,538","2,195"
"#8106","MitsuShiro","99.03%","70,692","6,978","33","675","1,437"
"#8107","Asahina Momoko","99.32%","82,303","6,978","53","968","976"
"#8108","Cocada","99.14%","23,492","6,978","210","366","328"
"#8109","Cato","99.14%","100,187","6,978","13","370","630"
"#8110","Ryazumi","98.86%","93,527","6,978","23","566","844"
"#8111","Mesho","98.88%","77,077","6,978","177","1,379","1,429"
"#8112","Ezem","95.19%","45,875","6,978","8","224","388"
"#8113","New","95.54%","57,124","6,977","11","422","794"
"#8114","Chibs","97.79%","60,851","6,977","2","565","1,422"
"#8115","sk0rbuto","99.09%","39,521","6,977","17","473","1,189"
"#8116","Ecliptus","99.06%","60,435","6,976","76","860","1,391"
"#8117","Nick902","98.45%","84,775","6,976","128","855","1,458"
"#8118","CV sawasawasawa","97.15%","48,242","6,976","31","657","1,650"
"#8119","bun","94.57%","82,596","6,976","57","344","454"
"#8120","Falsia","98.62%","98,724","6,976","4","333","574"
"#8121","Akei","98.44%","82,004","6,976","14","613","704"
"#8122","Serv11","98.83%","11,395","6,976","26","86","107"
"#8123","DaddyBear","98.93%","34,740","6,975","66","819","1,717"
"#8124","-ManFan","95.93%","54,322","6,975","9","379","246"
"#8125","Dredarkoo","98.12%","24,152","6,975","56","545","844"
"#8126","Vexisu","98.88%","52,779","6,975","13","509","426"
"#8127","Seiryu","99.11%","41,282","6,974","26","643","1,185"
"#8128","Kuroni","98.77%","55,182","6,974","14","400","610"
"#8129","ScepticalPoem","99.33%","57,142","6,974","58","674","1,278"
"#8130","hartzxx","98.39%","46,562","6,974","66","394","645"
"#8131","Zerophyne","97.94%","82,002","6,974","10","809","957"
"#8132","Snow Wind","98.88%","42,638","6,974","115","1,042","572"
"#8133","luGha","98.10%","78,684","6,973","28","319","641"
"#8134","FayeurS 3","99.21%","82,749","6,973","530","2,246","1,947"
"#8135","Ignacio_old","99.23%","2,233","6,973","46","91","25"
"#8136","Gokou Hinata","98.64%","91,247","6,973","33","1,111","777"
"#8137","Aloha","99.56%","78,516","6,972","364","1,574","770"
"#8138","Stevenn","98.42%","48,022","6,972","42","1,144","1,354"
"#8139","My Angel PeteX","98.32%","63,451","6,972","28","665","881"
"#8140","[ Velkoz ]","99.51%","40,731","6,972","23","390","608"
"#8141","StylishBBA","98.92%","91,874","6,972","482","1,911","316"
"#8142","Sebbebro","98.53%","70,145","6,972","84","911","923"
"#8143","- Jeanne","99.23%","57,772","6,972","68","476","1,166"
"#8144","SnowTsuki","99.18%","68,265","6,972","164","2,522","889"
"#8145","[ WayZ ]","98.46%","73,699","6,972","194","2,572","954"
"#8146","-[ Yumi ]-","97.74%","74,025","6,971","25","450","1,220"
"#8147","Purettsu Eru","99.27%","126,475","6,971","531","2,182","899"
"#8148","Honoka Kousaka","97.90%","82,318","6,970","130","1,102","1,363"
"#8149","Asmodeusa","98.36%","49,930","6,970","6","626","1,637"
"#8150","KacperDesu","99.05%","86,157","6,970","16","769","843"
"#8151","Draxarta","95.23%","34,226","6,970","12","244","464"
"#8152","Giani","97.56%","115,176","6,970","15","299","839"
"#8153","YamiRengar","98.28%","36,797","6,970","27","691","734"
"#8154","Toraschrein","97.62%","80,867","6,969","698","1,046","1,840"
"#8155","loliJoe","97.83%","45,083","6,969","10","568","852"
"#8156","NoikkaX","98.58%","68,685","6,969","381","2,299","987"
"#8157","rart","97.69%","52,934","6,969","8","503","1,085"
"#8158","Goisser","99.36%","63,670","6,969","273","1,430","918"
"#8159","Reazen","98.61%","162,194","6,969","139","2,053","1,779"
"#8160","My AngeL Usukes","98.81%","36,334","6,969","93","718","848"
"#8161","ItashaS13","96.74%","60,921","6,969","25","593","1,086"
"#8162","ERAD","98.79%","37,024","6,969","25","772","844"
"#8163","Nutella","97.76%","35,107","6,968","1","25","33"
"#8164","Stubbs","99.40%","61,831","6,968","248","654","410"
"#8165","KaiiSox","97.05%","49,743","6,968","15","305","386"
"#8166","Kwickie","96.34%","54,398","6,968","1","462","1,174"
"#8167","Meikai","97.99%","104,597","6,968","82","994","1,576"
"#8168","- Kyuji -","98.68%","43,025","6,968","15","587","618"
"#8169","IonlysayVoHiYo","98.91%","121,775","6,967","140","3,169","1,935"
"#8170","Mivv","99.04%","35,500","6,967","22","252","610"
"#8171","Luda007","98.39%","112,633","6,967","21","473","578"
"#8172","McKensy","99.25%","38,363","6,967","99","1,268","2,091"
"#8173","Soyokaze","98.67%","61,293","6,967","24","313","730"
"#8174","- shouko","98.59%","51,233","6,966","28","428","412"
"#8175","Saya-Yuuki","98.61%","45,542","6,966","10","453","653"
"#8176","Nitricity","99.03%","33,283","6,966","180","725","1,807"
"#8177","Koniroku","98.29%","71,745","6,966","53","542","1,143"
"#8178","Malle","98.39%","65,354","6,966","27","677","563"
"#8179","XuX","98.44%","50,506","6,966","40","1,555","3,631"
"#8180","Juan M4T","97.24%","67,367","6,965","48","463","474"
"#8181","LoverJuzu","98.80%","87,824","6,965","34","1,392","1,186"
"#8182","DarkSharky","97.84%","82,675","6,965","54","1,006","897"
"#8183","yapls","96.36%","71,931","6,965","2","340","962"
"#8184","Alex Nex","99.23%","47,711","6,965","93","1,414","1,680"
"#8185","Houtaro","98.59%","46,889","6,965","31","652","1,290"
"#8186","Azurize","95.67%","46,608","6,965","3","183","423"
"#8187","mingming0419","99.27%","97,867","6,965","94","1,604","745"
"#8188","Kergio","99.30%","116,491","6,965","127","714","759"
"#8189","1erenerdem","97.53%","57,173","6,965","31","330","722"
"#8190","Dodaeng","97.68%","68,970","6,965","21","432","1,143"
"#8191","Cereal","97.56%","60,635","6,964","46","490","673"
"#8192","suwaton","97.68%","25,424","6,964","4","223","537"
"#8193","Yuudachi-kun","94.74%","43,189","6,964","73","682","712"
"#8194","SlichBane","99.06%","50,923","6,964","327","1,217","2,053"
"#8195","KcHecKa","99.21%","38,589","6,964","735","284","266"
"#8196","Sirodaifuku","95.76%","94,150","6,964","39","352","507"
"#8197","lazyrifi","97.82%","47,038","6,964","40","816","972"
"#8198","shinybones","98.40%","41,980","6,963","15","449","601"
"#8199","[Ekero]","95.70%","68,175","6,963","7","237","538"
"#8200","Tom94","98.16%","35,346","6,963","39","472","595"
"#8201","LynchJeffKaplan","98.32%","7,046","6,963","1","136","155"
"#8202","tonyi","99.06%","57,230","6,963","82","1,273","1,296"
"#8203","Aomi Maika","99.20%","70,258","6,962","23","621","492"
"#8204","Syoru","97.87%","107,218","6,962","34","1,308","1,992"
"#8205","ThermiteZ","99.14%","47,003","6,962","179","1,350","711"
"#8206","Danbal_Sarang","98.63%","54,329","6,962","42","801","280"
"#8207","yuri on ice","94.67%","62,426","6,961","20","169","215"
"#8208","Arkisol","98.51%","44,730","6,961","39","629","713"
"#8209","[Arctix]","97.77%","66,398","6,961","11","248","792"
"#8210","xPitusa18","97.80%","30,000","6,961","49","431","368"
"#8211","Luminiscental","98.99%","34,135","6,961","79","1,362","2,449"
"#8212","Nokami","97.13%","24,066","6,961","29","595","960"
"#8213","Tatsujin","99.02%","14,021","6,961","39","283","231"
"#8214","Jamie Wright","99.15%","107,430","6,961","1,328","1,257","1,127"
"#8215","Ene Chan","98.74%","85,405","6,961","24","724","364"
"#8216","Firef","99.15%","37,387","6,961","89","803","347"
"#8217","-Mephisto","98.77%","65,447","6,961","95","2,149","1,077"
"#8218","Niktushi","97.60%","42,562","6,960","592","995","987"
"#8219","rmeon","98.08%","79,144","6,960","208","1,550","716"
"#8220","Sahray","99.22%","85,856","6,960","235","796","1,259"
"#8221","Ghsadsa","97.89%","41,026","6,960","61","483","440"
"#8222","SukiFlavian","98.12%","62,336","6,960","42","746","1,126"
"#8223","Ciastekzi","98.94%","78,537","6,960","118","931","751"
"#8224","iljaaz","98.52%","44,444","6,960","22","282","586"
"#8225","kilreff45","98.39%","29,146","6,960","6","398","698"
"#8226","jonathan","95.42%","54,239","6,960","67","993","616"
"#8227","Crissa","99.12%","33,547","6,960","21","445","894"
"#8228","[Kinki]","97.90%","72,284","6,960","36","1,005","1,469"
"#8229","Hubic","98.62%","38,666","6,960","24","609","900"
"#8230","Just Lucan","98.41%","85,271","6,959","103","1,776","1,543"
"#8231","Veran","97.78%","54,524","6,959","6","362","771"
"#8232","Asphyxia","97.86%","86,885","6,959","44","685","864"
"#8233","Nyakochi","98.17%","36,696","6,959","6","332","599"
"#8234","Hexlock","97.87%","34,887","6,959","14","456","1,185"
"#8235","E n d","99.20%","84,696","6,959","65","228","324"
"#8236","Seemoon","98.39%","137,173","6,958","47","805","629"
"#8237","OnealGamer","98.94%","51,026","6,958","61","495","543"
"#8238","Mr_Falco","98.61%","70,911","6,958","2,323","8,943","1,546"
"#8239","Anto","99.22%","104,917","6,958","285","3,759","1,458"
"#8240","MaxBrukteFly","98.11%","45,193","6,958","29","566","491"
"#8241","R00T","97.93%","68,879","6,957","9","470","533"
"#8242","Shiyuri","99.09%","74,373","6,957","66","814","1,053"
"#8243","Fraggy","99.12%","25,761","6,957","13","350","1,239"
"#8244","Defex","98.74%","20,507","6,957","12","462","742"
"#8245","LLLol0_0IAY","98.56%","37,019","6,957","18","343","603"
"#8246","-Seal-","97.92%","18,555","6,956","27","360","544"
"#8247","gus238","96.63%","79,049","6,956","19","574","551"
"#8248","Aquantum","98.30%","69,451","6,956","20","702","968"
"#8249","KornMan","99.16%","39,325","6,956","112","1,277","1,407"
"#8250","diksy","98.78%","84,275","6,955","110","740","861"
"#8251","Janu191","99.22%","87,107","6,955","214","924","763"
"#8252","Dios Dong","99.18%","41,940","6,955","29","571","1,016"
"#8253","permiss","96.92%","63,735","6,955","12","197","482"
"#8254","Coca1ne","98.93%","112,545","6,955","57","1,333","2,316"
"#8255","My Angel Bevzun","96.32%","87,124","6,955","7","379","865"
"#8256","MyAngelMonika","98.39%","41,689","6,955","29","540","788"
"#8257","Serito","98.98%","56,086","6,955","73","1,706","2,176"
"#8258","Bradlei","98.66%","68,726","6,954","90","1,306","856"
"#8259","iamwellys","99.49%","33,062","6,954","82","474","6"
"#8260","StreetPro","98.70%","57,161","6,954","73","961","1,841"
"#8261","cookiekiller100","98.75%","84,785","6,953","29","571","508"
"#8262","SatoriKomeiji","99.02%","68,935","6,953","99","1,746","2,262"
"#8263","raii","98.41%","47,535","6,953","28","459","1,128"
"#8264","NixXSkate","99.08%","129,825","6,953","2,531","408","147"
"#8265","weakerr","97.61%","41,795","6,953","38","604","721"
"#8266","MyGlorichka","98.70%","17,059","6,953","71","279","379"
"#8267","shader504","99.03%","42,910","6,953","28","577","1,512"
"#8268","5teven","98.24%","35,847","6,952","161","1,046","849"
"#8269","TenaPotato","99.44%","120,994","6,952","1,535","1,678","1,226"
"#8270","Nanael-sama","98.41%","175,225","6,952","698","1,987","2,873"
"#8271","ziku","98.52%","59,752","6,952","9","564","1,363"
"#8272","BAMS 2128","98.43%","15,006","6,952","28","660","307"
"#8273","NeXuS15","98.77%","52,264","6,951","108","1,796","906"
"#8274","-Xistence","96.90%","46,975","6,951","25","428","826"
"#8275","takaga mom","98.34%","49,567","6,951","41","1,146","1,352"
"#8276","Five","99.29%","71,009","6,951","364","1,174","66"
"#8277","Josepher","96.53%","141,462","6,951","104","729","685"
"#8278","Einja","98.48%","25,870","6,951","33","940","1,566"
"#8279","Raffallos","98.55%","109,119","6,951","387","1,716","1,909"
"#8280","Physalis","98.52%","116,191","6,950","21","1,179","1,406"
"#8281","e1Four15f","98.53%","54,960","6,950","35","615","770"
"#8282","Sythu","99.29%","41,829","6,950","682","1,712","2,427"
"#8283","Nozkur","98.84%","103,017","6,950","132","1,801","1,591"
"#8284","Yoroke","98.84%","36,968","6,950","29","514","2,259"
"#8285","Vivian Desu","98.80%","41,182","6,950","40","547","697"
"#8286","P46","98.91%","23,575","6,950","4","153","238"
"#8287","Asredon","99.27%","142,997","6,950","126","1,780","2,240"
"#8288","hisofu","97.47%","43,087","6,949","27","275","731"
"#8289","Khac","98.81%","53,001","6,949","51","474","406"
"#8290","hachitanuki","93.95%","31,376","6,949","61","614","704"
"#8291","powerpix","98.60%","43,908","6,949","44","757","834"
"#8292","Gryzax","99.20%","39,062","6,949","44","630","1,418"
"#8293","Kawana Subaru","99.00%","88,885","6,949","22","501","941"
"#8294","- Logic -","98.23%","52,404","6,949","35","265","643"
"#8295","rigellroy","98.50%","73,219","6,949","21","269","645"
"#8296","Fancytbh","97.69%","34,707","6,949","70","667","651"
"#8297","Sekuria","98.73%","61,608","6,948","36","453","927"
"#8298","Ariazi","98.93%","56,208","6,948","34","805","611"
"#8299","rutek","98.81%","51,995","6,948","80","1,025","847"
"#8300","Orange Mushroom","99.18%","55,660","6,948","159","1,154","1,122"
"#8301","A R","96.80%","83,822","6,947","21","420","974"
"#8302","erk","97.71%","55,912","6,947","15","1,134","1,002"
"#8303","marnie","98.01%","52,256","6,947","113","400","622"
"#8304","Zephyrx","99.52%","57,280","6,947","121","688","1,133"
"#8305","fanatka_index-a","98.57%","62,715","6,946","31","525","789"
"#8306","hibi","99.02%","39,598","6,946","103","565","628"
"#8307","FreeSongs","99.03%","55,431","6,946","126","1,654","767"
"#8308","_Suyong","97.05%","30,422","6,946","32","672","722"
"#8309","-Ploy-","97.39%","101,967","6,946","53","901","1,237"
"#8310","Peanuttie","97.69%","24,620","6,945","54","586","222"
"#8311","Metridium","96.62%","50,168","6,945","39","590","726"
"#8312","SenpaiDeoxys","98.82%","43,103","6,944","98","400","435"
"#8313","TaigaMyAngel","99.02%","55,561","6,944","58","704","846"
"#8314","-sandAI","98.88%","53,696","6,944","100","1,066","1,078"
"#8315","SonarMkn","98.92%","55,497","6,943","112","427","862"
"#8316","Pronounta","98.49%","63,867","6,943","32","284","318"
"#8317","Noguk","98.15%","27,436","6,943","14","245","970"
"#8318","Your Bae","99.40%","65,554","6,943","97","875","1,089"
"#8319","BearBear","98.69%","43,063","6,943","17","532","799"
"#8320","Emmanuel","94.88%","77,320","6,943","69","710","468"
"#8321","akyito","96.41%","60,029","6,943","9","122","284"
"#8322","Final Universal","98.53%","41,654","6,943","27","438","302"
"#8323","Castlefrost","98.86%","36,946","6,943","48","705","1,394"
"#8324","Jump Farmer","98.66%","79,094","6,943","18","611","706"
"#8325","TheGuyInHD","98.34%","42,381","6,943","10","390","1,445"
"#8326","Greeney","98.87%","48,048","6,943","8","501","1,084"
"#8327","Exod","98.38%","68,709","6,943","38","699","417"
"#8328","Skorpiik","98.47%","104,311","6,942","48","650","1,546"
"#8329","[DEGXK_XCrton]","98.52%","47,233","6,942","24","872","695"
"#8330","Lilica","97.64%","48,407","6,942","3","379","662"
"#8331","Xdrei","98.92%","53,451","6,942","110","992","985"
"#8332","Sevigoth","99.10%","88,536","6,942","424","2,668","674"
"#8333","SpellZZZ","98.13%","156,336","6,942","112","2,013","2,111"
"#8334","AsSBags Shuvii","98.16%","49,815","6,942","16","211","587"
"#8335","thedingus","99.19%","31,241","6,942","46","867","610"
"#8336","AngelBeans","98.51%","130,415","6,942","98","1,569","2,906"
"#8337","Condizionatore","98.11%","43,814","6,941","16","570","1,107"
"#8338","Szabolcs","99.06%","100,514","6,941","117","872","1,350"
"#8339","hapihapi","99.05%","34,369","6,941","175","1,075","795"
"#8340","MrShepard","98.63%","50,713","6,941","20","359","397"
"#8341","Invade","97.20%","29,406","6,941","7","511","655"
"#8342","Zymolysis","99.24%","66,204","6,941","20","418","387"
"#8343","Angeles","98.94%","42,869","6,940","24","459","314"
"#8344","MrJeris","98.40%","75,093","6,940","9","541","836"
"#8345","LoveJibing","98.74%","44,360","6,940","106","1,426","1,080"
"#8346","Nevy","97.84%","48,988","6,940","94","1,021","836"
"#8347","wavec","99.30%","64,997","6,940","45","451","181"
"#8348","Mad Carrot","99.23%","67,741","6,939","240","607","942"
"#8349","spookali","98.08%","25,237","6,939","9","384","742"
"#8350","Krom1","99.04%","31,391","6,939","160","1,083","479"
"#8351","JoaoLassance","98.22%","34,064","6,939","66","350","457"
"#8352","Skyme","99.12%","89,166","6,939","24","805","874"
"#8353","Ludy","99.10%","28,308","6,939","34","319","315"
"#8354","MisterDova","97.19%","83,105","6,939","12","406","568"
"#8355","Syrin","98.39%","109,850","6,939","83","1,061","1,499"
"#8356","Taps","98.13%","52,651","6,938","25","318","486"
"#8357","Drakarushka","98.38%","54,760","6,938","12","747","734"
"#8358","Jpeypey","98.61%","41,493","6,938","13","363","649"
"#8359","aszhes","98.97%","94,533","6,938","138","1,435","718"
"#8360","ragnaci","98.38%","76,038","6,938","121","1,514","3,468"
"#8361","[Ninja]","95.14%","35,355","6,938","23","341","435"
"#8362","Takla","97.93%","31,429","6,938","46","507","415"
"#8363","SiLviA","99.00%","88,954","6,938","1,255","3,063","8"
"#8364","- gero -","98.63%","26,812","6,938","11","404","146"
"#8365","Zur4x","99.10%","86,575","6,937","47","605","1,999"
"#8366","CrimsonCero","98.44%","36,852","6,937","47","478","1,428"
"#8367","BOT Kalso","98.53%","28,909","6,937","61","744","1,337"
"#8368","pokpokpokpok","98.75%","63,366","6,936","16","307","702"
"#8369","sometimes","98.55%","69,686","6,936","297","731","806"
"#8370","[ SainZz ]","98.84%","55,471","6,936","153","925","1,073"
"#8371","Necroluttah","98.57%","61,804","6,936","60","572","633"
"#8372","Lildoki","98.24%","68,358","6,936","17","575","852"
"#8373","[-MVHELIX-]","99.25%","39,513","6,936","60","528","431"
"#8374","webbiana","97.28%","59,326","6,935","2","378","631"
"#8375","lyzanderr","99.22%","39,840","6,935","31","516","797"
"#8376","AVlad","98.75%","33,974","6,935","143","654","1,110"
"#8377","Sampai-","97.84%","66,134","6,935","26","225","509"
"#8378","soretun","98.87%","54,962","6,935","89","972","1,243"
"#8379","Hiken","99.14%","31,035","6,935","80","929","1,797"
"#8380","Mike5801","98.91%","90,752","6,935","40","443","1,740"
"#8381","yukiyato","99.16%","82,175","6,935","150","950","1,089"
"#8382","VitorSkull1780","97.45%","40,713","6,934","20","499","723"
"#8383","Ayai-","96.97%","37,284","6,934","14","417","616"
"#8384","BK_Moe","98.69%","33,803","6,933","4","689","340"
"#8385","Saewon","98.57%","118,464","6,933","170","634","556"
"#8386","HonzaUrbis","99.47%","76,747","6,932","304","1,072","1,951"
"#8387","GardVlad","98.63%","40,704","6,932","18","390","367"
"#8388","beeco","99.20%","134,326","6,932","501","3,090","904"
"#8389","Gerodar","98.98%","52,085","6,932","120","1,592","1,135"
"#8390","Luskor","98.70%","70,371","6,932","18","699","880"
"#8391","Pab","99.17%","114,976","6,931","225","1,276","1,694"
"#8392","TheShadowOfDark","97.96%","227,603","6,931","21,723","1,058","1,089"
"#8393","[ Listen ]","97.84%","61,936","6,931","89","965","765"
"#8394","Kooleyy","99.51%","51,484","6,931","522","1,097","2,468"
"#8395","IIAndyII","97.99%","29,942","6,931","27","181","170"
"#8396","Keanu","99.10%","75,168","6,930","216","1,338","570"
"#8397","brissul","98.99%","88,233","6,930","74","1,476","2,824"
"#8398","Doryoku","98.76%","58,251","6,930","7","129","548"
"#8399","-Hibiki-","98.65%","52,089","6,930","4","411","2,325"
"#8400","Corvidae","96.29%","77,577","6,929","52","327","855"
"#8401","kazu2411","98.11%","122,950","6,929","29","643","1,319"
"#8402","Wukioh","99.25%","75,524","6,929","24","395","398"
"#8403","MrGarebear2000","99.30%","73,112","6,929","154","1,026","4,125"
"#8404","CallieOnOsu","98.66%","48,764","6,929","27","311","633"
"#8405","Emilia -","98.95%","55,268","6,929","48","1,076","1,279"
"#8406","OnyonSwomp","99.20%","32,433","6,928","29","596","1,113"
"#8407","Syn","96.84%","45,639","6,928","42","236","239"
"#8408","fonbioexe","98.26%","55,323","6,928","18","461","489"
"#8409","Mistrzux","98.96%","56,623","6,928","71","896","1,131"
"#8410","leagueplayers1","98.59%","42,395","6,928","14","399","428"
"#8411","Agio_","97.76%","73,605","6,928","5","273","748"
"#8412","WhatSkill","98.74%","65,489","6,928","52","771","652"
"#8413","itanimullI","98.41%","44,996","6,927","26","495","955"
"#8414","GomDogs","98.47%","60,188","6,927","15","628","946"
"#8415","Hidarite","96.29%","43,279","6,927","7","214","426"
"#8416","Haruseki","97.90%","41,165","6,927","86","386","478"
"#8417","Sroj","96.17%","32,944","6,927","57","456","352"
"#8418","_Remi","98.20%","100,083","6,927","456","1,990","657"
"#8419","Pururu","98.53%","38,104","6,927","124","812","1,048"
"#8420","TheCoosmicX","98.75%","36,713","6,927","35","511","1,100"
"#8421","MusicalSona","99.51%","94,822","6,927","71","680","539"
"#8422","Lohtric","98.65%","99,067","6,927","39","399","718"
"#8423","JO0SH","98.26%","73,794","6,926","16","457","745"
"#8424","weixter","98.33%","48,487","6,926","51","1,372","1,486"
"#8425","Ry4chikA","98.08%","20,136","6,926","13","379","194"
"#8426","HiroM","98.53%","51,237","6,926","309","5,458","3,050"
"#8427","ABSOLUTE EPIC 6","99.06%","38,796","6,926","31","361","509"
"#8428","shanaQ","95.87%","93,377","6,926","22","607","1,607"
"#8429","awesomegnm","97.26%","83,822","6,926","8","334","571"
"#8430","MyAngelGIL","98.63%","47,819","6,926","20","574","767"
"#8431","avolt","97.77%","48,521","6,926","6","71","234"
"#8432","xfunky69","97.02%","42,151","6,926","18","174","198"
"#8433","amit","96.45%","58,984","6,925","2","367","662"
"#8434","Gon","98.48%","70,629","6,925","221","2,859","410"
"#8435","CurtisR","99.15%","48,147","6,925","21","384","832"
"#8436","Furyy07","97.86%","92,371","6,924","43","949","764"
"#8437","rektile420","97.67%","50,272","6,924","30","492","590"
"#8438","Cang Yue","98.14%","55,443","6,924","51","677","757"
"#8439","ConnerBoii","96.09%","41,774","6,924","73","421","307"
"#8440","yorsk","98.60%","140,375","6,924","147","1,866","1,113"
"#8441","Sensokaku","97.83%","52,454","6,924","441","1,218","744"
"#8442","Jogui3k","98.84%","75,285","6,924","17","524","1,284"
"#8443","Lowish","96.66%","31,419","6,923","0","228","438"
"#8444","Zetsubou","98.89%","139,654","6,923","118","1,173","468"
"#8445","rryutek","97.77%","49,335","6,923","12","317","528"
"#8446","Kizma","99.24%","48,345","6,923","149","1,155","1,077"
"#8447","-Touka-","99.41%","110,004","6,923","249","938","1,389"
"#8448","Kihnlane","99.74%","42,546","6,923","329","584","22"
"#8449","LongExistence","98.64%","49,944","6,923","27","654","573"
"#8450","RomanJay","98.65%","30,517","6,923","43","660","601"
"#8451","zelbog","99.09%","72,760","6,922","29","448","744"
"#8452","WillieXDiadem","98.97%","40,921","6,922","140","1,231","504"
"#8453","290BPM","98.23%","31,887","6,922","30","423","513"
"#8454","Kusiu","98.87%","64,152","6,922","379","1,528","1,679"
"#8455","kawaemon","99.10%","34,881","6,922","26","475","334"
"#8456","dera","97.75%","29,071","6,922","58","827","1,469"
"#8457","Knakworst","98.34%","65,962","6,922","63","449","461"
"#8458","Itachi","98.08%","43,230","6,921","121","583","978"
"#8459","TheFeedsw","99.30%","58,506","6,921","40","1,069","722"
"#8460","Amanion","98.22%","88,295","6,921","52","561","1,163"
"#8461","Proviteus","98.70%","84,339","6,921","193","1,406","2,387"
"#8462","Syin","98.46%","38,904","6,921","4","424","555"
"#8463","NuunMoon","99.51%","101,946","6,920","79","510","1,004"
"#8464","Pedrin","98.55%","49,692","6,920","82","446","266"
"#8465","MedievalFluff","99.42%","57,295","6,920","45","483","917"
"#8466","daniel3k","98.43%","33,020","6,920","125","807","1,197"
"#8467","Asthurias","98.95%","69,502","6,920","59","847","364"
"#8468","LoPlomo","99.42%","91,793","6,920","229","1,926","4,127"
"#8469","Haruru","98.56%","62,271","6,920","114","1,635","1,118"
"#8470","StinkyCheese","98.46%","74,249","6,920","64","502","2,048"
"#8471","- Auto -","99.64%","36,848","6,920","815","1,832","964"
"#8472","GameGear","99.29%","67,844","6,919","153","1,841","3,255"
"#8473","Tomecki12","98.40%","44,818","6,919","33","511","321"
"#8474","hanyube","96.81%","20,679","6,919","1","277","575"
"#8475","iFlashie","98.04%","134,394","6,919","164","268","496"
"#8476","Hagor","96.84%","59,389","6,919","4","351","862"
"#8477","KumaSlayer","98.82%","45,298","6,918","159","960","551"
"#8478","Nelliel","98.31%","57,301","6,918","37","164","575"
"#8479","JiU","98.92%","68,933","6,918","46","549","904"
"#8480","Shikinami Asuka","98.72%","95,199","6,918","686","3,225","1,682"
"#8481","shii loves nep","95.12%","23,648","6,918","10","303","396"
"#8482","Kerusu","98.94%","32,987","6,917","778","958","922"
"#8483","I Krypto I","97.87%","45,666","6,917","50","839","1,257"
"#8484","Junur","98.44%","53,904","6,917","31","671","756"
"#8485","Akakuro","99.14%","67,679","6,917","67","796","1,097"
"#8486","Midwinter","97.09%","53,942","6,917","8","377","377"
"#8487","noGraphicTablet","99.05%","30,130","6,917","24","564","1,008"
"#8488","13th owl","99.00%","42,409","6,917","31","622","1,232"
"#8489","Gerwazus","98.62%","52,953","6,917","161","1,166","2,106"
"#8490","Chromide","97.76%","48,278","6,917","13","411","499"
"#8491","bro gamer 5","98.52%","43,468","6,917","14","222","518"
"#8492","mjozog3","99.09%","87,754","6,917","651","2,060","1,647"
"#8493","kitsanirou","98.90%","59,589","6,916","116","2,333","942"
"#8494","We Go Down","98.57%","70,984","6,916","41","1,116","1,044"
"#8495","2n331","99.10%","18,198","6,916","20","151","65"
"#8496","dsvd","99.24%","93,375","6,916","79","445","680"
"#8497","Chocolate Milk","98.76%","20,713","6,916","12","318","522"
"#8498","Prajdo","98.70%","27,456","6,916","26","585","598"
"#8499","T r i s t a n","97.60%","66,935","6,916","59","581","466"
"#8500","SpiralSD","98.80%","27,358","6,916","11","360","731"
"#8501","cedar","98.89%","157,486","6,916","82","1,019","1,691"
"#8502","[ 2B ]","98.46%","57,376","6,916","46","860","1,248"
"#8503","Spring Roll","98.90%","39,321","6,915","92","1,649","553"
"#8504","Ryunir","92.66%","112,528","6,915","4","135","361"
"#8505","Ukiyo-","98.64%","4,092","6,915","43","278","368"
"#8506","Reconnect_","98.73%","44,421","6,915","23","637","585"
"#8507","DOmiF0rz","98.68%","50,278","6,915","57","1,106","865"
