"rank","username","acc","playcount","performance","SS","S","A"
225,"Rean-K",97.61,85570,12067,25,1330,1236
226,"Skyrovania",98.87,86711,12066,18,836,1260
227,"a12456",95.19,139697,12065,40,3491,1203
228,"Zakura",98.08,109854,12064,40,951,1134
229,"_demo",97.73,142270,12063,197,1605,2617
230,"Raikouhou",97.95,56421,12056,43,406,717
231,"w1sp",97.41,43635,12056,35,675,949
232,"rip fc",96.68,91956,12011,66,479,767
233,"boleks",99.1,149117,12008,175,1923,1252
234,"Astar",97.39,170476,12008,107,2036,1698
235,"_Shield",99.17,89063,12006,307,2004,1616
236,"Auji",97.43,141410,12002,23,1322,1638
237,"Mystia",98.89,178175,12001,260,1101,1262
238,"Crezz",98.1,89995,11992,118,945,820
239,"twoja stara",99.15,102868,11987,408,1674,1178
240,"Rhythm blue",99.09,81631,11984,7,1032,1038
241,"Blobby3000",98.76,96013,11983,76,1051,1673
242,"chankoma",98.3,178507,11980,430,1891,655
243,"Ventus",99.02,93770,11975,493,5536,2205
244,"Topoi",97.35,102992,11964,83,1540,1650
245,"dench",97.02,41347,11955,12,219,407
246,"Jakson",97.37,55832,11946,21,366,1425
247,"iMey",99.39,40691,11939,22,523,313
248,"Fichi",97.88,151115,11914,101,768,738
249,"Mizuru",98.78,102310,11913,93,997,1397
250,"kyorii",96.14,77392,11905,42,496,420
251,"BadGraph_",97.65,49345,11899,21,410,1060
252,"nick1324",98.3,57912,11887,54,901,803
253,"MioMilo",98.95,173210,11886,323,2840,1799
254,"Clarity",98.44,104542,11886,316,1516,445
255,"heyronii",97.56,108513,11882,37,948,1955
256,"rudj",97.74,124340,11878,49,798,536
257,"Apraxia",98.79,125759,11869,167,1500,2483
258,"Jup3KW",99.45,93994,11867,165,1039,1350
259,"Strauberry",94.83,59533,11866,2,172,233
260,"oni",98.45,30467,11860,89,496,433
261,"Asde",97.05,114439,11859,105,1117,1113
262,"SadnessWillSear",99.19,115592,11838,39,1348,1022
263,"ruirui",98.32,80090,11833,48,654,835
264,"Epiphany",99.28,150628,11831,554,2081,2326
265,"xootynator",98.93,53401,11829,82,721,704
266,"Ephix",97.92,135747,11826,0,1824,398
267,"AbrahamR",98.72,91961,11814,143,1403,1169
268,"CLIQUEURDZ_DU58",98.73,167034,11813,39,1639,1643
269,"Riffo",98.11,106567,11812,92,1009,1019
270,"Tekkito",97.73,60522,11810,47,846,1687
271,"Jerekek",97.75,70353,11808,31,240,569
272,"Woffel",99.18,113583,11806,101,840,2148
273,"Miseration",98.15,121678,11803,14,428,807
274,"HappyStick",98.54,212707,11794,161,3021,910
275,"Kurogami",98.18,96214,11780,103,1128,1158
276,"[ Blue ]",98,107229,11779,98,1068,1311
277,"ChitogeOP",97.97,162150,11777,117,1245,1210
278,"VilaZ",97.76,69340,11774,66,1458,1530
279,"bango",97.53,101687,11770,8,305,658
280,"Wario",98.44,137008,11762,265,1734,2297
281,"Jaggan",97.69,209628,11758,114,1118,1500
282,"Moffo",96.29,282087,11749,238,1870,1115
283,"Pray",93.54,178136,11742,49,3394,1393
284,"Stoof",99.08,96787,11739,89,1005,1491
285,"edizberkserbest",96.77,81539,11730,8,367,696
286,"nigelf",98.32,122127,11730,76,941,999
287,"Woey",99.12,308118,11725,2819,8674,1587
288,"-Chika",97.29,81089,11724,41,390,609
289,"Detze",97.53,127755,11720,313,1771,1502
290,"LanJay",99.19,189246,11718,164,1456,1769
291,"-NeBu-",98.93,105403,11704,561,2161,883
292,"Ceptin",97.53,95677,11680,50,713,1131
293,"goosefedora",98.79,156965,11678,61,1686,1000
294,"Autistic Kid",98.86,82054,11673,61,824,1274
295,"DudsonZ",98.87,108485,11670,116,1026,613
296,"Area",99.29,147080,11670,357,2881,1531
297,"-Syncro",97.75,79794,11668,5,406,678
298,"LightsOut",96.81,130110,11657,187,1355,955
299,"Anze",97.31,182235,11649,315,1831,1066
300,"Devon",96.57,153291,11646,13,694,1100
301,"ThatRandomguy",99.09,113853,11638,54,1005,779
302,"Calcium",97.91,188592,11638,48,1447,4419
303,"DenierNezzar",98.61,144416,11630,97,2275,1848
304,"Kim Dahyun",96.28,97745,11619,177,719,710
305,"Aldrouch",98.36,103129,11619,15,500,1251
306,"Maiaz",98.19,42956,11619,11,821,906
307,"Thorfinn",97.72,98028,11617,54,685,479
308,"haga1115",98.84,107615,11589,207,1165,2168
309,"Milo Milkshake",98.44,92428,11579,68,1222,1494
310,"DigiDrake",98.96,134817,11571,189,1808,939
311,"Kalal331",97.03,70897,11562,29,957,1859
312,"Lilily",98.01,203537,11562,7105,6048,3258
313,"esio",97.25,45340,11560,15,687,359
314,"Naco",95.09,36392,11556,25,248,652
315,"FeeDyy",98.57,68666,11555,100,1123,2362
316,"Toushi",98.7,109410,11539,88,1095,1195
317,"Tokori",97.81,183425,11530,15,453,1387
318,"[ nong422 ]",97.55,73657,11529,72,883,652
319,"cocona",98.45,106861,11500,213,873,999
320,"watun",98,75558,11494,197,762,1183
321,"Kynan",98.82,204727,11488,92,2057,2342
322,"T A K A O",97.87,119158,11481,156,1066,1990
323,"zin",97.91,119506,11477,201,1948,1708
324,"Rebo",98.6,73411,11474,78,932,1515
325,"Aden",96.98,115545,11469,36,1252,1481
326,"Crystal",98.39,120781,11458,900,4970,1458
327,"Trail Mix",97.68,75826,11452,80,995,1566
328,"MyAngelShime",95.87,54966,11450,12,294,505
329,"JAPRON",98.78,92247,11449,59,433,432
330,"Shinkei",97.92,91558,11431,6,589,550
331,"[-Lockon-]",97.82,136622,11431,46,1617,1674
332,"Kaido",99.46,110008,11429,69,324,730
333,"EmertxE",97.73,204719,11428,99,2184,1850
334,"Idealism",98.05,102727,11419,102,1718,1401
335,"Doomsday fanboy",96.56,100160,11416,51,1121,603
336,"karott90",98.86,96296,11416,502,3762,3544
337,"Azer",99.13,102159,11412,248,1450,1022
338,"[TAKA]",97.78,109683,11403,128,2158,1669
339,"Orbi",99.04,141802,11389,103,1676,889
340,"Blazink",96.02,81256,11384,1,111,558
341,"Theodore",95.56,18520,11377,0,83,163
342,"SunFesta",96.56,71163,11370,151,596,900
343,"Ampharos",97.54,58647,11368,56,339,381
344,"xaxreid",98.8,107734,11365,39,711,1250
345,"MrFuture",98.83,116438,11347,309,629,678
346,"JustMan",99.01,67841,11342,319,1655,982
347,"fojo",97.26,48814,11341,5,577,1548
348,"Surv",98.28,72973,11339,106,460,520
349,"Sanze",99.13,162906,11335,110,1382,1141
350,"Fangzy",99.19,184093,11331,1183,6377,275
351,"fea",99.18,107540,11326,561,724,390
352,"Sieela",98.44,102145,11318,25,668,768
353,"Purps",98.86,78699,11318,68,666,1143
354,"[toy]Is our boy",95.67,69563,11315,28,445,423
355,"Jagester",98.48,134549,11309,96,1535,1797
356,"-Nanahira-",98.68,112095,11307,117,1732,1187
357,"Mya2",97.19,63291,11307,28,1308,1853
358,"rektygon trash",97.69,79863,11301,102,1312,1583
359,"Smiljko",98.73,96351,11297,90,1100,1410
360,"XVoIR",97.73,66803,11292,51,658,565
361,"GranDSenpai",97.86,240105,11290,287,1239,1901
362,"Tj7223",99.6,75026,11289,2,435,582
363,"Ceja",99.28,84400,11281,473,453,216
364,"noslied001",97.75,55525,11280,129,1027,1022
365,"[Rem-Desu]",97.12,41905,11280,9,443,474
366,"flae",97.7,120789,11275,96,514,442
367,"Avenito",98.17,105531,11273,47,573,793
